stat,vyznamenani,jmeno,vyznamnost,zebricek,narozeni,umrti,rok,rank,retez,skupina,inmemoriam,pohlavi,prezident
cr,rad-bileho-lva,Lech Walesa,35.411781 ,801.5,1943.0,nan,1999.0,1.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Richard von Weizsäcker,32.824436,3024.0,1920.0,2015.0,2003.0,1.0,False,občanská,False,muz,Klaus
cr,rad-bileho-lva,Simon Wiesenthal,33.570942,1793.0,1908.0,2005.0,1999.0,3.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Thomas Ray Wilson,18.984396,1397787.0,1946,nan,2002.0,3.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Jiří Zenáhlík,nan,nan,1921,nan,2008.0,1.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,Helmut Zilk,27.068069,46449.0,1927.0,2008.0,2019.0,1.0,False,občanská,True,muz,Zeman
csfr,rad-bileho-lva,François Mitterrand,35.902332,470.0,1916.0,1996.0,1990.0,1.0,False,,False,muz,Havel
csfr,rad-bileho-lva,Vladimír Krajina,22.397926,240550.0,1905,1933,1990.0,1.0,False,,False,muz,Havel
csfr,rad-bileho-lva,Zdena Salivarová - Škvorecká,22.676586,224787.0,1933.0,nan,1990.0,3.0,False,,False,zena,Havel
csfr,rad-bileho-lva,H. G. Skilling,20.104029,495709.5,1912.0,2001.0,1992.0,3.0,False,,False,muz,Stráský
csfr,rad-bileho-lva,Josef Škvorecký,28.360466,24888.0,1924.0,2012.0,1990.0,3.0,False,,False,muz,Havel
